irc.servercentral.net Tue Dec 26 23:43:09 2006
#al-Qaeda 22 al-Qaeda airlines soon coming to a town near 4you :)
#BritneyLounge 8 merry x-mas
#TrudawgZ 25 - #OUTLAWZMP3Z - #GANGSTA-VIBEZ -
#SafeTcl 7 Feel free to (ab)use the SafeTcl bot here. Script is at: www.Tcldrop.US/SafeTcl
#test 15 Test your thingie here! (flood settings are relaxed)
#gvz-recruits 19 Lookin for some good servers!!!  DUMP !
#tdz 14
#0days-warez 47 Welcome To 0Days-Warez
#harleys 9 Happy Harley Holidays
#mac 31 iPod's glow helps rescue lost mushroom picker - way to go TUAW
#creditcards 6 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#Card 23 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#© 22 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#Æ 22 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#drunkenfriendsradio.com 14 DrunkenFriendsRadio.com: DJ-PegMan - DrunkenFriendsRadio now online @ http://music.drunkenfriendsradio.com:7788/listen.pls with EmMiERoSe at 96kbps :: !sc:help 
#credit 23 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#CService 20 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#goatse 6 http://www.goatse.fr | http://picard.ytmnd.com | http://sicklinks.org/dance.swf | http://lmx.mine.nu
#TCPA|T3h_Unc3ns0r3z 9 #TCPA|T3h_Unc3ns0r3z | Vent your frustrations in here! | http://impoll.net/cgi-bin/pp.cgi?p=1469
#s2000 6 My S2000 does 155, I did a 150, lost my license.. now I don't drive.. .
#gaydecentguys 9 RmanPepsi puts up a large banner behind the bar "CONGRATULATIONS HALLY" .. your now edumacated ..
#dvdv-chat 18 **** HO HO HO   ...   MERRY CHRISTMAS EVERYONE **** | ++ R.I.P. James Brown (1933-2006) ++
#siantar 2
#irc.ptptech.com 24 get out your broom its a sweep
#ballers 7
#Piercing 5
#LongBeach 5 http://www.news.com.au/heraldsun/story/0,,19955774-5007220,00.html
#Hole-yHarem 5 Si vis pacem, para bellum
#FreeBSDadmin 5 http://www.worldnetdaily.com/news/article.asp?ARTICLE_ID=52747
#xpw-chat 15 Now 9[OPEN9] Ask your questions and wait 4| IE FIX - http://www.sendspace.com/file/lwlqq0
#nflheadcoach 8
#headcoach 8
#superbowlxli 7 Join #football  |  Super Bowl XLI - Feb. 4 2007, Dolphins Stadium 
#nflfootball 7
#nfleurope 7
#sportbike 7 i'm the shit
#gridiron 9
#fisk.no 8 Velkommen til #Fisk.No, der fisk er fisk og alt er annet | Gief 2007! *-_-'*'*-_-*'*
#Cheers 17 Welcome To #Cheers, | English Only | MERRY CHRISTMAS TO EVERYONE.. AND A HAPPY NEW YEAR!!!!!
#cinematography 6
#portugal 16 bem vindos ao/welcome to #portugal@EFnet.
#uneekmods 6 got a zune, or just interested in them, join #zune and #zunematers  _~_MERRY XMAS_~_RIP james brown
#securitas 9
#domains 10 if you figured out the key, you get a cookie
#fumbling 4 Honeybunn wedding, July 2nd Graha Bayangkara no 29
#audiopiates 9 just dope music.
#linux-support 32 welcome to #linux-support, feel free to ask (but please be patient) | (n)evermind msg kovenant
#nds-wifi 27 4#NDS-Wifi 8| 3 Lets all play with each other ;)  8| 7 !Friendcode 8| 7We have rabies, but not boobies
#rockets 9
#permafried 5 Welcome to Permafried Gentleman's Club
#clippers 12 eb for mvp
#pistons 11 SEASON OVER, LETS ALL GO COMMIT SUICIDE!!!!
#down-souf 18 ROOTER/SCANNERS needed rewards msg CaRNIVAL_ 
#twolves 10 RIP 2005-06 Season See you guys next year!
#sexchat 5 irc://irc.fatdog.nl/bukkake
#[CMaTT] 10 My World Part Duex
#phillies 22 Freddy Garcia | A. Eaton 3yr/24mil | Wes Helms 2yr/5.5mil | J. Werth 1yr/850K | Barajas 1yr/2.5mil | Conine TRADED to Cincy
#knicks 13 Knicks 12-17 | David Lee | half a game out of first!!!!
#exchange2003 11 this is *NOT* a warez/trading channel, it is for Microsoft Exchange Server
#bomusic 15 7[Welcome to #Bomusic!] Please share: VOB and/or M2V only! | Commands: !list @find !seen | 7Happy Holidays! :)
#sfgiants 6 New Season coming soon.  Not soon enough though
#slut 5 slut's house, respect. | heads up : DO NOT PM AN OP.
#pop-up 10  LEET 3, NYE Dec. 31, 2006! in Regina | James Brown = pwnt :( | +v = geigh
#bacardi 10 key is 151
#users 6
#seahawks 7 Poor tackling dooms Hawks - the story of the year
#niggas 12 rip pat
#aborted_retried_failed_and_ignored 3 Little pig little pig let me in...
#mormon 9 Merry Christmas! Welcome back! Members and Friends of the Latter-day Saints < http://www.mormon.org >
#Snunit 18 Ave Usey, te mortimus salutamus ;] - Shana Tova
#mactech 9 No More Wire Hangers! bring beer... | s|re we love you :|:
#aibon 10 Welcome to #aibon: NO NEW NEWS - http://hello.uh-oh.jp/cgi-bin/aaa/img/hell36442.jpg
#xxx 12 Search: ON Freebies: ON Serving: 1007 Sites
#tetrifast 12
#tetris 13 http://www.blocktrix.org/
#coil 17 A riot can only last so long before it becomes choreography :: http://www.youtube.com/watch?v=078x5ztuuCw =
#cyberparty 10 Dirty Sex Chat - your cyberspace headquarters - Do not msg the ops please. | Idler; #31337 & #hax0r
#amd 6 THIS CHANNEL IS OPEN, CERTIFIED AMD PROFESSIONALS ARE READY TO HELP! AMD CPU WAREZ /CTCP COMMIE LIST !
#exploit 25 Starting to develope a new exploit website /msg volcom / mshadow if interested 
#lds 10 Welcome to #lds ( www.lds.org ) | Merry Christmas!
#Fishing 9 Fish On! - Fish Off!
#Redwings 10 Detroit Redwings  |  One of the Original Hockey Clubs
#cia 15 [23:12] <jonin> are you ok today ?
#monokini 5 1-:4monokini1:- 1"a hottest Russian pop trance legend" 1-:4\m/1:- http://monokini.kvts.ru
#computer_science 11
#paraphysics 7 Gotte fireworks yet?
#ZeroUnix 18 http://zerounix.net - Shell & WebHosting
#ignitehost 16 we're bring sexy back
#singapore 27 8,13WE WiSh YoU A 12,8HaPpY mErRy ChRismaST 2006 13,7aNd 15,12NeW Year 2007 From 0,1Arieshosting 5,8Network (10,8
#860 7 oensker velkommen til #860
#irc.du.se 9 <->
#myrcs 5 My RC Supply.com Your online RC Supply
#connecticut 6 YAWN
#linux-help 29 11:31PM <Pogogunnr> The color box is still off. | 11:31PM <Pogogunnr> And its making weird noises | 11:31PM <Pogogunnr> OMFG FIRE, BRB
#guitarists 21 R.I.P. James Brown | HO HO HO! nuff wiD the h0in.. and pass out some cheer!  http://www.guitarists.net/tab/view.php?id=34090
#mathematics 26 Math Seminar Channel. See #math for people. Previous talks and schedule: http://www.efnet-math.org/w/Seminars  
#mpeg3c 16 Welcome to #mpeg3c
#netchat 14 http://youtube.com/watch?v=xGZaCnfNgLE | Trump's got it right
#spurs 12 Spurs 2-1 Villa | #hotukdeals  #cooltrivia
#thespot 6 Specimen loves Spocks Vulcan Balls!
#sksapps 20 |Efnet | Ps2 Apps | www.SKSApps.com | www.SKSApps.info/forums | Please Wait for an Answer
#pa_lib 9 The official home of PAlib - www.palib.com | Newest version: 060917 | Don't ask to ask, just ask... :D
#sex 28 [English Only!] [18 & Over!] [Ask Before You PM!][ASL is lame!]
#die 16 DIE
#liquidshells 21 www.liquidshells.net - Get your Unix Shells here.  !vhosts !order | http://tinyurl.com/khnvp
#beatles 10 Beatles "Love" - #1 in Europe, #4 in USA                    merry xmaxx
#trillian 6 We are not distributing the beta, do not ask - Trillian - Play nice and you won't be kickbanned
#guitartabs 10 check our our webpage at: http://home.no/guitartabs/index.htm
#BEAUTIFULFLOWERS 37 -bottler -xdcc -xdcccatcher THERE'S NOTHING HERE, YOU WORTHLESS CUNTS
#guliverkli 17
#na 17 NA meeting Tuesday nights, 9pm eastern time. Happy Holidays
#gp2x.de 13 Willkommen im deutschen GP2X-Chan! Wiki: wiki.gp2x.org | Shop: shop.gp2x.de | Stats: wejp.k.vu/efnet-gp2x.de
#666 19 http://www.youtube.com/watch?v=96OljGZapv4
#ISO 46 [iSo] Want To Make XDCCS for US? Msg St0nY , Thx Alot  , ALL Metallica CDS ON ISO-DCC01 [iSo]
#gardening 7 :: Merry Xmas! ^_^)b :: Keep growin~
#tao 20 "I hope that someday we will be able to put away our fears and prejudices and just laugh at people." --Jack Handey
#psychology 19 We take our bearings, daily, from others. To be sane is, to a great extent, to be sociable. - John Updike
#bobcats 13 2-3, Bobcats 86 Spurs 94 | Fuck Timmy !
#freeiso 7 If your looking for iso's you came to the wrong place
#dreamcast-backups 5
#animevortex 28 !list !rules [Need Fservs! "!serv!"] | ANIME, ANIME, ANIME, ANIME, ANIME, SEX, ANIME, AND MORE ANIME!!!
#Oilers 14 EDM 2 DAL 3 FINAL | Save CBC sports: http://tinyurl.com/yfybdr
#teens 9 tacos.
#alienarena 18 Happy Holidays from the AA2k7 crew!!!!
#vitalspeeds 17 [www.vitalspeeds.com] for all your eggdrop / bnc / IRCD needs.
#nextel 7 slutcakez 
#australia 19 happy xmas to all
#dssgodz 7 ::#dssgodz:: We have moved to 4irc.gigacrew.net:6667 | 7Join us there for all your DSS Needs.
#AnimeNinjaZ 20 AnimeNinjaZ | Part of the #Animevortex Network | Http://www.animevortex.net | WWWEEEEE
#newyork 11 New York, New York, big deal bling bling barf.
#asian-hq 15 NO MORE BOTS! more chattin now =D | www.asian-hq.com
#MetalWorld 11 channel is dead /part
#shell-trade 18 Mary Christmas :)
#pantera 9 R.I.P. Dimebag | We will miss you FOREVER! | P.S. ThX for being late to audio check to sign my axe man! love - The Dude
#invaderzim 8 [ www.torrentspy.com | www.thescarymonkeyshow.com | www.roomwithamoose.com | www.myspleen.com ]
#AVZ-Recruit 5 Joined here bcoz you want to be recruited? Tell it to us and wait for a response.. Be patient please
#kelebek 6
#w00t 7 w00t ;)
#tier1 21
#fucked 11 fucked up.
#density 7 -- DENSiTY --
#BIG-BIZ-MP3 10
#Torchwood 10 #dwarchive for Who + Torchwood chat. Spoilers in #Torchwood and #doctorwho. #whodcc for servers |BBC3 Sun 10PM, repeated BBC2 Wed 9:00PM
#chiptunes 18 www.chip-on.com - www.plopbox.net - if you want you can also check #chiptunes @ QuakeNet :)
#clonemasters 14 Welcome To Clonemasters Newest Games come see!!!! Servers needed!!! Inquire within
#germany5 15 The friendliest German channel. All languages welcome. Klar sprechen wir auch Deutsch. User fotos on www.germany5.de
#colts 99 [#colts][Colts 11-4 ][Colts need to take the dick out of their mouth!]
#eggdrop101 61 www.egghelp.org | If you need help with an eggdrop bot, feel free to ask here.
#houseofmovies-uno 30 4[8HuMr4]11www.humr.org 4| 9Welcome to the UNO channel. Type 4!uno 9to start game and 4join9 to join.
#NewJersey 7 if you need access to the bots /msg haul
#camwhores 23 shiteating stalker shit!!!
#ee 14 Home of electrical engineering on EFnet - If you have a question, be patient and someone will eventually respond
#NetConfig 34 DUMBASS:  <addesse> can i help me? @ 0,7** Intrati pe Canalul1 #Ro0 cu Trivia Non-Stop, 2http://ro.trivia.at0 **
#vwaudi-club 59 Mattis slapp ut fra den offentlige instansen idag! Velkommen hjem til jul!
#owirc 7 http://www.owirc.org/releases/ for latest - zug!
#* 52 die 
#. 40 http://www.wired.com/news/privacy/0,1848,68800,00.html?tw=wn_tophead_1
#highuptime.com 38 www.highuptime.com | need to transfer your account? e-mail us at highuptime@lunarshells.com | !uptime
#movietrivia 12 FlipDeezy is Movie Master - happy holidays every one :)
#HackersRUs 9 Hackers R Us - This is not a help channel
#Kismet 7 stay tuned for more of nothing...........as usual.
#wifi 6 [802.11a/b/g] [www.VyraX.com] WiR3L3SS Interests? Join #WARDRiViNG .. [2.4ghz/ISM]
#hybrid 8  http://www.hybridized.org/sets/376
#mactorrents 7 Welcome folks!  :|:  Keep your pants on & remain seated.
#cafe 5 Welcome to #Cafe!
#Hjelp 38 Velkommen! Still ditt sp¯rsmÂl direkte i kanalen og vent pÂ svar. GOD JUL! http://216.70.117.172/me_english.htm
#FREESTYLE-VIDEOZ 5
#bttv 28
#41ST_SIDE 9
#LBRADIO 23 3FeLiZ 4NaTaL!!
#B¯ 10 http://live.wildlife.wavelit.net/451OK
#grimsby 3 Grimsby, ON, Canada.... get it?
#gabber 11 need design/dev werk for gabberbeatz.org any takers?
#psychobilly 16  DEFENDERS OF THE FAITH
#matrux 19 [matrux.net] dyslexic: up
#Dewland 14 http://www.collegehumor.com/picture:1732725
#legit 18 [legit] wow.. its been a while :)
#nw0.info 32 Join #New_World_Order! | http://bewareofthis.info | http://nw0.info | http://newworldorderchat.com
#bewareofthis.info 33 Join #New_World_Order! | http://bewareofthis.info | http://nw0.info | http://newworldorderchat.com
#guess 21 merry christmas, cut, trog, weezer... thats it.
#underdog 10 want alright free tv on your computer? - http://www.tvunetworks.com/downloads/index.htm 
#mamak 18 8,13WE WiSh YoU A 12,8HaPpY mErRy ChRismaST 2006 13,7aNd 15,12NeW Year 2007 From 0,1Arieshosting 5,8Network (10,8
#dishnetgodz 4 Back like a motherfucker!!!
#Nintendo_DS 16 http://media.nintendo-europe.com/compel/video/cri9US3Ag5tBu3OkYw7e30hIK1Rv3Sa8.mov
#DC4ME 11 (.)(.) Merry Christmas (.)(.)
#dont.whois.me.bitch 14 Welcome to #dont.whois.me.bitch
#Nintendo-DS 17 http://www.retrowarez.com/item.asp?dvdId=3703
#pepsi 15 vampireuk = soldier
#casualchat 9 Welcome to the #casualchat enjoy your stay remember chat in chan no msgin without askin first
#retrowarez 15 www.retrowarez.com
#eBay_UK 15 http://www.ethicalcompanies.co.uk/powersellers/Merry%20F------%20Christmas.zip
#oklahoma 12 Welcome to #oklahoma, Big 12 Champs!
#xsi 15 www.softimage.com  
#excession 4
#mamedev 16
#diamondbacks 5 BRANDON WEBB - 2006 NL CY YOUNG. | Dave Damashek: "arizona diamondbacks, JERKS!" 
#cracks&serials 15 Welcome to #cracks&serials
#semarang 32 :: Welcome to #semarang :: -r@
#serials&cracks 22 Welcome back to the new #Serials&Cracks.
#cinta 10 Welcome to #Cinta Visit #Yogyakarta -r@
#goons 19
#spoof 18
#40s+Forever 10 davtek>war only has one holiday....the day it ends.
#avantegardens 6 Please log on to ebay, "a christmas wish" Item number: 200047871503  
#megaroms 3
#surabaya 21 15.3:14--=SuRaBaYa Community = 5 www.suroboyo.org3:15. |  13 Met Idul Adha, Natal dan Tahun Baru 2007
#lt1882 10
#XMRADIO 9 #XMradio Radio to the power of X...and shit | help for your new radio here !
#four 4 bueno. 
#new2ops 3
#jedi 7 #complete-chat
#cubbies 7 - join #bears - join #cubs - /j #bears -
#sega-japan 9 Merry christmas! otaku banzai
#arab 23 I dont know who oped this lamers here lol
#stargate-sg1 3 24 weeks to next stargate
#GNU/Linux 2
#kjernen 5 God Jul! Ekstra GOD JUL til Ivers!! www.kjernen.com 
#anime-vortex 8
#EFNU 7 http://www.efn.no/ | http://efn.no/ungdom/
#spritux 13 we are back... det e fest
#adventist 2 "Fear not, little flock; for it is your Father's good pleasure to give you the kingdom." Luke 12:32
#mentoz 16 Billettsalget starter s¯ndag | www.naitparty.org | 12-15 oktober
#LAN 15 http://lancrew.net/EUROPA_BMW_325_is.wmv   vs  http://lancrew.net/ZIMBABWE_BMW_325_is.wmv
#amv 9 #animevortex
#dbz-vortex 8 #animevortex
#red-dwarf 3 .:: For general scifi chat, /join #scifi ::.
#MEGA-MUSZAK 5 [Trance-Techno-House-Rave-Rap..... ] Visit #Enzo-XDCC
#narvik 46 God jul og Godt NyttÂr folkens :) have fun in the hollydays :)
#join 9 Welcome to #join - feliz holiday
#skjerv¯y 14 Billettsalget starter s¯ndag | www.naitparty.org | 12-15 oktober
#bjerkvik 12
#segakatana 4 SEGAKatana.com Forums || http://forums.segakatana.com
#ours 1 *SMOOCHES*
#surfthe.us 2 /msg boby or try /server irc.surfthe.us then /join #surfthe.us thank you for your patronage
#xtremeshells 1
#fubar 5  <firecat> what does "fubar" mean?
#doog 5 Photographic Evidence: http://nothinghaschanged.com
#mudbox 13 Mudbox 1.0 now available for purchase! | http://mudbox3d.com/press.html | SPEAK ENGLISH | No Warez!| HAPPY HOLIDAYS!
#adsense 18 http://www.Bandwand.com
#linuxsluts 10 someone's going to smacked tonight! someone's going to whacked tonight!
#framper 7
#@ 12
#distributed 7 Official d.net channel now on irc.distributed.net
#/bin/bash 9 nig noggery.
#maxima 8
#main 11 killall -9 life | defonic '06 | <br0k3n> shes kinda cute if you squint your eyes
#sirius 5
#dlz 10 DLY is up and running!! | working on DBH again sorry for the delay it's have been toooooo hot for computers this summer.
#chicagobears 7 - join #bears - www.chicagobears.com - /j #bears -
#chicago-bears 7 - join #bears - www.chicagobears.com - /j #bears -
#dishnewbies 7 | ?? keys | ?? vukeys | join #nagra2 we're all in there
#hacktheplanet 4 Online Record Store http://allscool.co.uk/ | Hack the planet, save a tree | http://air-art.co.uk/ | http://myspace.com/braexpher
#startrek-central 3
#eternal 4
#tv-series 3
#x-core 7 So, it's back to me and a couple of bots again.  (apologies to rawt and fornax)
#snmp 6
#israeltrance 18 ..\o/.. Welcome To #IsraelTrance ..\o/.. 
#downbeat 7 http://www.news4jax.com/news/10529143/detail.html
#admins 11 Admins only.  Exchange secrets of the trade and perhaps LEARN something...
#net 5 msg momo for some serious dick
#VIP 18 ‡È ˘Â˜ÈÈÈÈÈ ‡È ˘Â˜ÈÈÈÈÈ ‡È ˘Â˜È ˘Â˜È ‰˙Â˙Á!
#glandeurs 15 http://www.donutgames.com/play/spikeys_bounce_around/
#news.no 10 under / over / borte for forbedringer....god jul :)
#scifi 7 .:: Welcome to #SciFi - Anything you think can be held against you ::.
#SVCD-ISO 5
#moonshyne 13 Need files off the old raptured server? Email support@moonshynecomm.com for them.
#boa* 5 æ»≥Á«œººø‰ #BoA* √§≥Œø°ø¿Ω≈∞Õ¿ª »Øøµ«’¥œ¥Ÿ | #Asian-HQ (AHQ) #CJK-pop;#BoA*Nation@GalaxyNet| http://clubbox.co.kr/8DBoA
#ihop 5 UPDATE: (Sir-tip): I was Sdws (Sir-tip): Do u remember Valleygirl ? (Riven): not sure (Sir-tip): She was a guy...Shot hi
#estonia 19 H‰id p¸hi! | RIP James Brown
#san_diego 7 Track Santa -->  http://www.noradsanta.org/en/default.php
#punkt 5
#episode-heaven 9 [zr] - S.O.S 14| !list 14| @find 14| !hos 14| .channels 14
#biology 13 If at first you don't succeed, destroy all evidence that you tried.     -- Homer J Simpsom
#reptiles 5 The new home of reptile and amphibian chat on EFnet!
#digital-forums 10 Welcome to #Digital-Forums - Merry Fuckin' Xmas, Cunts.
#raggajungle 8 http://web.synacor.com/login/budweiser | http://www.morazzia.com/jayde-nichol.html
#Latin-DVD-Videos 15 11Latin Music Videos from DVDs only! | Commands: !list @find !seen | Invite your Friends! | 7Happy Holidays! :)
#OOL 4 www.optonline.net | hack
#acp 5 Show-nuff>all in the chat and torm is a native and mattttttt is a transexual
#geocaching 8 "[05:22] <Eaglet> that's an ooooooooooooooold topic" Eaglet visited again!
#heppy 4
#iceland 9 Merry Christmas! Gleileg jÛl! God jul!
#cloned 29 Ideas are bullet proof...
#politricks 22 http://rense.com/1.imagesG/sheeple.jpg
#ampvamp 3
#extropy 6 http://www.extropy.org | http://www.nanodot.org | http://www.foresight.org
#nwo.info 20
#vim 9 hello I have a question:  you are idle a lot where can I get vim info....well @ http://vimdoc.sf.net ofcourse
#mediatranquility 7 (mt) shells comming back soon
#hive 20 NÂ er det Jul!!
#kinky 6 m000
#1stlink 3 http://www.freestuffhotdeals.com/hacker/1.html
#blade-videoz 7
#robotech 10 happy god damned holidays people
#hack.fr 18 louis01@gmail.com
#the_orly_factor 3 fuck kpearsalls and obsos couch. YARLY.
#$ 20
#heartbeat 16 7,1 On-Demand Mode |11,1 Visit New Heartbeat Forum 15,1| http://forum.heartbeatstation.net 
#norcal 5 http://www.letssaythanks.com/Home1024.html
#cigars 7 All about stogies. | Feel free to ask questions.
#government 2 hiGH
#tempo 2 Welcome to the BEST # on Efnet
#irc.efnet.ru 11 IRC.EFNET.RU + SOVIET RUSSIAN EFNET SERVER + NO TROLLS ALLOWED!
#betfair 4 merry christmas to all punters
#a-team 15 3K4E3R4E  ||  DELL FSCKING SUCKS >> http://www.ihatedell.net/ <<
#sonic 4 Merry Christmas, Ho Ho Ho!| March 27, 2007 is Sonic Satam DVD Day
#support 26   2Drop your question and wait for an answer. Do Not Message.  
#Q8 28   2Knowledge Is Knowing That A Tomato Is A Fruit, Wisdom Is Not Putting It In A Fruit Salad.  
#animechat 12 !list !rules !info [#Animevortex Community] COME STAY PLEASE ^_^!!!!| CHAT!! be social | Need more fservs! (type !omega)
#godsofwar 10 WeLcOmE tO #Godsofwar -|- [ WaR oF GoDs]
#windows2007 14
#windows_vista 10 http://www.microsoft.com/windowsvista/default.mspx | !list will get you banned!
#phpbb 9 We are in #warez-iso
#Hostile 6
#french 11 11©∫∞®®∞∫© 12Joyeux NoÎl | Mele Kalikimaka | God Jul | Merry Christmas | Frohe Weihnachten | merii kurisumasu 11©∫∞®®∞∫©
#segasaturn 7
#wi-recruits 12 Hello and welcome to the warez-iso recruiting channel | Leave a msg and stay... we'll contact you as soon as possible
#athletics 14 Mach canned. | Geren MTBNL
#DigiRock-Staff 6
#usenetserver 6 #digirock for you news group needs chipdealer for chips
#communism 5 This space for rent
#4:20 5 Smoke up johnny
#49ers 9 RIP James Brown | ARI 26 @ SF 20 [F] [6-9|2nd|L1] Eliminated from playoffs. Idiot coaches only give Gore 11 carries. 
#outdoors 6 Outdoorsy stuff
#Melody 5 *Inactive*
#crotesque 16
#mtec 16
#jettlag 7  Steelwater in memrory of Uncle Dave Stroman 29 dec at the river 
#kroq-radio 7 http://squirrel.streamboss.net:6333 ::: Donated by gtdawg
#Acme_Cave 10 WELCOME TO ACME_CAVE HAPPY HOLIDAYS@MERRY X MAS
#Is0_Recruits 5
#style 4
#gba 18 GameBoy Micro out this week... | www.vitalspeeds.com
#kubuntu 7  www.Kubuntu.Org (Ubuntu with KDE installed by default) - /join #Ubuntu instead.
#vcdz 20 .
#!/bin/ksh 11
#hacked 13 the dawn of a new era.
#calculator 7
#calculators 7
#1black 3
#calc 7 If you would like to talk about TI calculators, please visit the excellent #tcpa channel
#ti-calc 7 Please visit the excellent #tcpa for your calculator related questions
#tinews 7
#gamehosting 30 http://www.gamehosting.org | Opening soon. Jan 2007
#dreamboxNA 8 Welcome to #DreamboxNA (North America)| New Nitro II image out  | Gemini project 3.1 is out/ DSM 1.4 is around too
#psychz 9 [[Psychz Networks]] http://www.psychz.net
#coldplay 8 Coldplay concert http://rapidshare.com/files/5356030/ChrisMartinUnionChapel27112006.rar.html | http://www.coldplay.com/competitions/ | #BiT-HDTV | 
#cemetech 7 Cemetech.net | DCS5.8 Beta 4| DCS6 is in the works (or so Kerm claims)
#italia2 4 This topic will be here for 6+ months
#andeby 10 Google kommandoer : !g text !fight nick vs nick !image imagetext | Have a nice stay 
#Windrop 14  http://Windrop.SF.Net/ - Read the FAQ before asking. 
#lbrippers 15 11TÛpico: Canal de ajuda a novos rippers! 7N„o aceitamos pedidos nesse canal! | 3FeLiZ 4NaTaL!!
#jamenjaw 8
#crontab 13 0,10,20,30,40,50 * * * * /home/smoke/ebong >/pub/share/w33d 2>&1
#foochat 12 .
#vw 3 Lost in the big room: busgirl, Bughead/Buggy, Rag/Taz, Bguy
#sh 18 -= www.sh3lls.net =- ... /bin/sh ...
#oakland 13 Merry Christmas Hood Dwellers!!!!
#MUFC 20 PL: Manchester United [3-1] Wigan |Ronaldo 2x, SolskjÊr |
#petersen 11 R.I.P. Grandad
#Toci 6 {{}}
#ThugZ 30 =) stony msg lordoptic when yer around
#priangan 11 Welcome to #priangan Visit #yogyakarta -r@
#amdzone 9 AMD to cut FX-70 prices http://www.theinquirer.net/default.aspx?article=36194
#BeTaWi 12 Welcome to #betawi Visit #yogyakarta -r@
#dubstudio 4
#sh3llz 14
#power 35 Money is the root of all evil, and your the type I can see thru. Knowledge is POWER.
#:˛ 7 :˛ A Dope Trailer is no place for a kitty! :˛
#anal 15 http://www.youtube.com/watch?v=R5gVhXszrGY&search=thomas%20in%20the%20club <-- der ble sangen til 50 cent bra :P
#corleone 16 Corleone for life || God Jul : )
#negativland 9 Copyright Infringement Is Your Best Entertainment Value.
#clones 49 Visit http://www.chpass.com and get your STABLE UNDROPPABLE FOONET shell and more TODAY!
#packeting 49 Visit http://www.chpass.com and get your STABLE UNDROPPABLE FOONET shell and more TODAY!
#alphabet 49 adp is lame
#trojans 49 Visit http://www.chpass.com and get your STABLE UNDROPPABLE FOONET shell and more TODAY!
#drones 49 Visit http://www.chpass.com and get your STABLE UNDROPPABLE FOONET shell and more TODAY!
#trojan 49
#felon 48
#google 51 http://axefeather.com/index_pop.aspx?referred=&country=uk 
#p 49
#flameshells 53 flameshells has closed | we recommend worxtech.com for your shell/hosting needs | dexter.la for dedicated/colo
#aquateenhungerforce 13
#eliteops 36 idle for a week without disconnecting and get ops, guarenteed!
#footalk 12 skit skit skit.
#services.int 18 need a service? you need to pay ;)
#r0x0r 6
#weed101 30 FODADDY STAY ON FOR A LITTLE WHILE DAMN SON
#0sec-mp3 4
#op 36 wow look at me
#opsy 3 test channel
#t33ns 27 *meow*
#oops 5
#espanol 7 El canal m·s amable en el idioma espaÒol
#maduritos 7 Coquetea con personas de m·s de 30 aÒos de edad. :)
#worldwide 7 Where the world meets to chat and make friends. International chat in any language.
#eurodance 12 http://www.skyzdance.com/vipz/SKYzTEAM_-_skyzdance_make_your_day_that_way_(Vocal_Edit).mp3 Enjoy me singin zyark
#anti-war 11 WELCOME! R U A SPYBOT? nP! U GET @p's :) - http://www.anti-war.com
#0day-Xdcc 14 wanna help ? Msg St0nY
#LoveShack 22 i'm engaged :)
#milf 13 i miss you
#techno 14 ALL TALK IS IN #TRANCE.
#cocacola 28 ÿnsker alle en God Jul! :P
#Ankenes 15 hellu?
#sykkylven 14 Noken som he eller kan skaffe "Honndalen Soul og Funkarlag - Bak ei hes" cd'en? eller mp3? kontakt monolith!
#buzzybeez 11 80.65.57.203:21016
#bcs 8 New Year!
#snc 48 Sharpnet Communications - IRC: up, WEB: up; Website under construction, reseller packages & IRC hosting available.
#windows95 6 WE LOVE IDIOTS! Specialy you! | happy holidays good luck with getting help lol
#borabora 13 GOD JUL FOLKENS :-) eg fylle 22 Â et hallti dag [MrNowOne]
#depressionhelp 8 Depression Help Channel | Be nice or be gone | Holy fuck purple squirrels! |
#serverssale 17 -= www.serverssale.com =- coming soon ... cheap dedicated servers ... irc and non-irc - www.sh3lls.net/dedicated.htm ...
#ircdshells 17 -= www.sh3lls.net =- for cheap ircd shells
#vps 17 -= www.sh3lls.net =- virtual private servers - VPS - IRC allowed VPS  now available at ... http://www.sh3lls.net/vps ...
#CPlusPlus 7 R.I.P. Dimbag Darrell | You will be MISSED! | HAPPY NEW YEARS EVE !
#bigbrother7 8 Big Brother | Season 7 | Join #bigbrother to chat | http://www.bigbrotheronefnet.com/ |
#manutd 6 subsidiary of 4 #MUFC  
#barbados 2 Welcome to the BEST # on Efnet
#trinbago 2 Vist www.CaribDesigns.com for all your Internet Needs.
#trinidad 3 Vist www.CaribDesigns.com for all your Internet Needs.
#europe 19 Christmas is almost over!
#p-h-y-s-i-c-s 7 R.I.P Dime | Thermodynamics | w00t | Swedish Wimmins
#Pune 17 Welcome to Pune
#NowPlaying 7 ID3 OCD
#breakbeat 8 http://www.hybridized.org for downloads .:. and plz visite #Hybrid too ! =)
